year,Time Code,Country Name,ccode,corruption,regulatory
2022,YR2022,St. Lucia,LCA,0.578853130340576,0.439211994409561
2022,YR2022,St. Vincent and the Grenadines,VCT,0.756104052066803,0.348867624998093
2022,YR2022,Sudan,SDN,-1.39786016941071,-1.58131110668182
2022,YR2022,Suriname,SUR,-0.405177503824234,-0.789872884750366
2022,YR2022,Sweden,SWE,2.06165814399719,1.68157696723938
2022,YR2022,Switzerland,CHE,2.0093138217926,1.62011301517487
2022,YR2022,Syrian Arab Republic,SYR,-1.77599906921387,-1.82389974594116
2022,YR2022,"Taiwan, China",TWN,1.14813935756683,1.40988874435425
2022,YR2022,Tajikistan,TJK,-1.43415355682373,-1.19797742366791
2022,YR2022,Tanzania,TZA,-0.341099858283997,-0.563533365726471
2022,YR2022,Thailand,THA,-0.452194035053253,0.165019407868385
2022,YR2022,Timor-Leste,TLS,-0.265985161066055,-0.472811251878738
2022,YR2022,Togo,TGO,-0.64967155456543,-0.562867999076843
2022,YR2022,Tonga,TON,-0.420627415180206,-0.347820729017258
2022,YR2022,Trinidad and Tobago,TTO,-0.37968635559082,-0.0740921869874001
2022,YR2022,Tunisia,TUN,-0.251350313425064,-0.414175897836685
2022,YR2022,Turkiye,TUR,-0.467645317316055,-0.244638904929161
2022,YR2022,Turkmenistan,TKM,-1.43677389621735,-2.06706070899963
2022,YR2022,Tuvalu,TUV,0.651753723621368,-0.144963636994362
2022,YR2022,Uganda,UGA,-1.04179608821869,-0.490339338779449
2022,YR2022,Ukraine,UKR,-0.633566200733185,-0.331597328186035
2022,YR2022,United Arab Emirates,ARE,1.15533649921417,1.03478074073792
2022,YR2022,United Kingdom,GBR,1.62015616893768,1.5665100812912
2022,YR2022,United States,USA,1.10425877571106,1.42443990707397
2022,YR2022,Uruguay,URY,1.61052799224854,0.713579416275024
2022,YR2022,Uzbekistan,UZB,-0.757623434066772,-0.55031543970108
2022,YR2022,Vanuatu,VUT,-0.0289409626275301,-0.0908161327242851
2022,YR2022,"Venezuela, RB",VEN,-1.6511367559433,-2.04584336280823
2022,YR2022,Vietnam,VNM,-0.287282675504684,-0.429956316947937
2022,YR2022,Virgin Islands (U.S.),VIR,-0.00595007929950953,1.39833402633667
2022,YR2022,West Bank and Gaza,PSE,-0.702682197093964,-0.0368691794574261
2022,YR2022,"Yemen, Rep.",YEM,-1.67955815792084,-1.91754972934723
2022,YR2022,Zambia,ZMB,-0.529199838638306,-0.529057919979095
2022,YR2022,Zimbabwe,ZWE,-1.2551394701004,-1.42596733570099
2021,YR2021,Afghanistan,AFG,-1.15232741832733,-1.31168210506439
2021,YR2021,Albania,ALB,-0.576535522937775,0.175859391689301
2021,YR2021,Algeria,DZA,-0.635657608509064,-1.18196296691895
2021,YR2021,American Samoa,ASM,1.2798718214035,0.534613013267517
2021,YR2021,Andorra,AND,1.2798718214035,1.35934960842133
2021,YR2021,Angola,AGO,-0.651610195636749,-0.670014679431915
2021,YR2021,Anguilla,AIA,0.638071477413177,0.946981251239777
2021,YR2021,Antigua and Barbuda,ATG,0.231979250907898,0.374506026506424
2021,YR2021,Argentina,ARG,-0.422272920608521,-0.631172716617584
2021,YR2021,Armenia,ARM,0.048978328704834,0.131828442215919
2021,YR2021,Aruba,ABW,0.801610887050629,0.93955534696579
2021,YR2021,Australia,AUS,1.7076461315155,1.83118271827698
2021,YR2021,Austria,AUT,1.24299263954163,1.34041571617126
2021,YR2021,Azerbaijan,AZE,-0.847372114658356,-0.0650539621710777
2021,YR2021,"Bahamas, The",BHS,1.15245354175568,0.0616125762462616
2021,YR2021,Bahrain,BHR,0.144544184207916,0.836070001125336
2021,YR2021,Bangladesh,BGD,-0.98586094379425,-0.84635329246521
2021,YR2021,Barbados,BRB,1.2134006023407,0.550468504428864
2021,YR2021,Belarus,BLR,-0.258149892091751,-0.928987920284271
2021,YR2021,Belgium,BEL,1.45552504062653,1.33185970783234
2021,YR2021,Belize,BLZ,-0.330022901296616,-0.424278557300568
2021,YR2021,Benin,BEN,-0.170943543314934,-0.447988480329514
2021,YR2021,Bermuda,BMU,1.2798718214035,0.946981251239777
2021,YR2021,Bhutan,BTN,1.50712108612061,-0.405656158924103
2021,YR2021,Bolivia,BOL,-0.883186757564545,-1.16856575012207
2021,YR2021,Bosnia and Herzegovina,BIH,-0.665344417095184,-0.195087149739265
2021,YR2021,Botswana,BWA,0.665826141834259,0.600826501846313
2021,YR2021,Brazil,BRA,-0.498797684907913,-0.121613994240761
2021,YR2021,Brunei Darussalam,BRN,1.21635782718658,0.987135231494904
2021,YR2021,Bulgaria,BGR,-0.257637172937393,0.433977693319321
2021,YR2021,Burkina Faso,BFA,-0.08303402364254,-0.480167269706726
2021,YR2021,Burundi,BDI,-1.59939134120941,-1.00198709964752
2021,YR2021,Cabo Verde,CPV,1.01694858074188,0.26886397600174
2021,YR2021,Cambodia,KHM,-1.19748938083649,-0.686099588871002
2021,YR2021,Cameroon,CMR,-1.11718237400055,-0.934422612190247
2021,YR2021,Canada,CAN,1.61652982234955,1.61376404762268
2021,YR2021,Cayman Islands,CYM,0.468788921833038,1.05249428749084
2021,YR2021,Central African Republic,CAF,-1.24628365039825,-1.50971448421478
2021,YR2021,Chad,TCD,-1.49575436115265,-1.17182517051697
2021,YR2021,Chile,CHL,0.956733345985413,0.936240255832672
2021,YR2021,China,CHN,0.030393473803997,-0.332243531942368
2021,YR2021,Colombia,COL,-0.365435123443604,0.20214469730854
2021,YR2021,Comoros,COM,-1.30969882011414,-1.27106618881226
2021,YR2021,"Congo, Dem. Rep.",COD,-1.56906878948212,-1.44039714336395
2021,YR2021,"Congo, Rep.",COG,-1.39148437976837,-1.23300182819366
2021,YR2021,Cook Islands,COK,..,..
2021,YR2021,Costa Rica,CRI,0.470483005046844,0.438738018274307
2021,YR2021,Cote d'Ivoire,CIV,-0.395680397748947,-0.268797159194946
2021,YR2021,Croatia,HRV,0.0379615686833858,0.493546575307846
2021,YR2021,Cuba,CUB,-0.0332559123635292,-1.4544278383255
2021,YR2021,Cyprus,CYP,0.369634807109833,0.845392525196075
2021,YR2021,Czechia,CZE,0.615592837333679,1.34087228775024
2021,YR2021,Denmark,DNK,2.33375263214111,1.79559290409088
2021,YR2021,Djibouti,DJI,-0.804719805717468,-0.885837376117706
2021,YR2021,Dominica,DMA,0.547496855258942,0.289970070123672
2021,YR2021,Dominican Republic,DOM,-0.590034484863281,0.0779508575797081
2021,YR2021,Ecuador,ECU,-0.594089090824127,-0.719614744186401
2021,YR2021,"Egypt, Arab Rep.",EGY,-0.70553195476532,-0.519896507263184
2021,YR2021,El Salvador,SLV,-0.553035497665405,-0.363843023777008
2021,YR2021,Equatorial Guinea,GNQ,-1.58688843250275,-1.73251974582672
2021,YR2021,Eritrea,ERI,-1.25714194774628,-2.27972555160522
2021,YR2021,Estonia,EST,1.50684297084808,1.54799437522888
2021,YR2021,Eswatini,SWZ,-0.702006816864014,-0.602753639221191
2021,YR2021,Ethiopia,ETH,-0.422970861196518,-0.941965937614441
2021,YR2021,Fiji,FJI,0.443210333585739,-0.00529439095407724
2021,YR2021,Finland,FIN,2.23821711540222,1.88712561130524
2021,YR2021,France,FRA,1.28228497505188,1.23037326335907
2021,YR2021,French Guiana,GUF,0.900672316551209,1.16543340682983
2021,YR2021,Gabon,GAB,-0.869527161121368,-0.821126997470856
2021,YR2021,"Gambia, The",GMB,-0.382034093141556,-0.889699339866638
2021,YR2021,Georgia,GEO,0.661190092563629,1.05341958999634
2021,YR2021,Germany,DEU,1.78317177295685,1.62516117095947
2021,YR2021,Ghana,GHA,-0.128527134656906,-0.215175911784172
2021,YR2021,Greece,GRC,0.183452636003494,0.426903694868088
2021,YR2021,Greenland,GRL,1.00184488296509,1.35885882377625
2021,YR2021,Grenada,GRD,0.494174867868423,0.307351559400558
2021,YR2021,Guam,GUM,1.2798718214035,0.534613013267517
2021,YR2021,Guatemala,GTM,-1.19213712215424,-0.327891737222672
2021,YR2021,Guinea,GIN,-1.02238535881042,-0.980414152145386
2021,YR2021,Guinea-Bissau,GNB,-1.31993007659912,-1.27552962303162
2021,YR2021,Guyana,GUY,-0.187444075942039,-0.522020161151886
